Timestamp,"['1cf8d69c-892eedd9 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) KWH Received']"
2017-01-01T00:00:00-07:00,132.625 kWh
2017-01-02T00:00:00-07:00,131.25 kWh
2017-01-03T00:00:00-07:00,130.125 kWh
2017-01-04T00:00:00-07:00,126.375 kWh
2017-01-05T00:00:00-07:00,126.5 kWh
2017-01-06T00:00:00-07:00,127.5625 kWh
2017-01-07T00:00:00-07:00,118.0625 kWh
2017-01-08T00:00:00-07:00,119 kWh
2017-01-09T00:00:00-07:00,132.4375 kWh
2017-01-10T00:00:00-07:00,128.5 kWh
2017-01-11T00:00:00-07:00,125.625 kWh
2017-01-12T00:00:00-07:00,123.625 kWh
2017-01-13T00:00:00-07:00,123.5625 kWh
2017-01-14T00:00:00-07:00,113.4375 kWh
2017-01-15T00:00:00-07:00,112.9375 kWh
2017-01-16T00:00:00-07:00,115 kWh
2017-01-17T00:00:00-07:00,124.875 kWh
2017-01-18T00:00:00-07:00,127 kWh
2017-01-19T00:00:00-07:00,127.4375 kWh
2017-01-20T00:00:00-07:00,125.9375 kWh
2017-01-21T00:00:00-07:00,115.1875 kWh
2017-01-22T00:00:00-07:00,118.1875 kWh
2017-01-23T00:00:00-07:00,129.125 kWh
2017-01-24T00:00:00-07:00,133.25 kWh
2017-01-25T00:00:00-07:00,135.0625 kWh
2017-01-26T00:00:00-07:00,135.9375 kWh
2017-01-27T00:00:00-07:00,135.0625 kWh
2017-01-28T00:00:00-07:00,123.6875 kWh
2017-01-29T00:00:00-07:00,123.125 kWh
2017-01-30T00:00:00-07:00,134.625 kWh
2017-01-31T00:00:00-07:00,135.875 kWh
2017-02-01T00:00:00-07:00,136.5625 kWh
2017-02-02T00:00:00-07:00,136.625 kWh
2017-02-03T00:00:00-07:00,604.5 kWh
2017-02-07T00:00:00-07:00,84.4375 kWh
2017-02-08T00:00:00-07:00,148.5 kWh
2017-02-09T00:00:00-07:00,154.25 kWh
2017-02-10T00:00:00-07:00,147.1875 kWh
2017-02-11T00:00:00-07:00,129.0625 kWh
2017-02-12T00:00:00-07:00,127.6875 kWh
2017-02-13T00:00:00-07:00,137.75 kWh
2017-02-14T00:00:00-07:00,138.0625 kWh
2017-02-15T00:00:00-07:00,138.5625 kWh
2017-02-16T00:00:00-07:00,144 kWh
2017-02-17T00:00:00-07:00,133.1875 kWh
2017-02-18T00:00:00-07:00,124.5 kWh
2017-02-19T00:00:00-07:00,120.8125 kWh
2017-02-20T00:00:00-07:00,124.9375 kWh
2017-02-21T00:00:00-07:00,139.1875 kWh
2017-02-22T00:00:00-07:00,125.1875 kWh
2017-02-23T00:00:00-07:00,125.375 kWh
2017-02-24T00:00:00-07:00,861419.4375 kWh
2017-02-25T00:00:00-07:00,119.125 kWh
2017-02-26T00:00:00-07:00,117.375 kWh
2017-02-27T00:00:00-07:00,128.5 kWh
2017-02-28T00:00:00-07:00,129.5625 kWh
2017-03-01T00:00:00-07:00,129.125 kWh
2017-03-02T00:00:00-07:00,129.875 kWh
2017-03-03T00:00:00-07:00,128.8125 kWh
2017-03-04T00:00:00-07:00,120 kWh
2017-03-05T00:00:00-07:00,116.4375 kWh
2017-03-06T00:00:00-07:00,122.75 kWh
2017-03-07T00:00:00-07:00,126.1875 kWh
2017-03-08T00:00:00-07:00,126.625 kWh
2017-03-09T00:00:00-07:00,130.3125 kWh
2017-03-10T00:00:00-07:00,128.625 kWh
2017-03-11T00:00:00-07:00,115.625 kWh
2017-03-12T00:00:00-07:00,109.5625 kWh
2017-03-13T00:00:00-06:00,128.4375 kWh
2017-03-14T00:00:00-06:00,133 kWh
2017-03-15T00:00:00-06:00,139.6875 kWh
2017-03-16T00:00:00-06:00,141.75 kWh
2017-03-17T00:00:00-06:00,141.125 kWh
2017-03-18T00:00:00-06:00,141.8125 kWh
2017-03-19T00:00:00-06:00,127.75 kWh
2017-03-20T00:00:00-06:00,142.0625 kWh
2017-03-21T00:00:00-06:00,148.75 kWh
2017-03-22T00:00:00-06:00,126 kWh
2017-03-23T00:00:00-06:00,126.0625 kWh
2017-03-24T00:00:00-06:00,129.875 kWh
2017-03-25T00:00:00-06:00,117.75 kWh
2017-03-26T00:00:00-06:00,116.8125 kWh
2017-03-27T00:00:00-06:00,126.25 kWh
2017-03-28T00:00:00-06:00,127.875 kWh
2017-03-29T00:00:00-06:00,196.9375 kWh
2017-03-30T00:00:00-06:00,61.75 kWh
