Timestamp,"['206e9e83-0b6f326c 0046-LASSONDE STUDIOS Power Meter 316258 W-hours, Received']"
2017-03-29T00:00:00-06:00,1606.84375 kWh
2017-03-30T00:00:00-06:00,789.15625 kWh
2017-03-31T00:00:00-06:00,1483.6875 kWh
2017-04-01T00:00:00-06:00,1370.0625 kWh
2017-04-02T00:00:00-06:00,1402.25 kWh
2017-04-03T00:00:00-06:00,1463.6875 kWh
2017-04-04T00:00:00-06:00,1488.25 kWh
2017-04-05T00:00:00-06:00,1463.53125 kWh
2017-04-06T00:00:00-06:00,1447.0625 kWh
2017-04-07T00:00:00-06:00,1447.03125 kWh
2017-04-08T00:00:00-06:00,1429.96875 kWh
2017-04-09T00:00:00-06:00,1426.78125 kWh
2017-04-10T00:00:00-06:00,1470.125 kWh
2017-04-11T00:00:00-06:00,1481.8125 kWh
2017-04-12T00:00:00-06:00,1452 kWh
2017-04-13T00:00:00-06:00,1456.84375 kWh
2017-04-14T00:00:00-06:00,1437.96875 kWh
2017-04-15T00:00:00-06:00,1386.03125 kWh
2017-04-16T00:00:00-06:00,1382.90625 kWh
2017-04-17T00:00:00-06:00,1445.03125 kWh
2017-04-18T00:00:00-06:00,1494.03125 kWh
2017-04-19T00:00:00-06:00,1473.59375 kWh
2017-04-20T00:00:00-06:00,1522.21875 kWh
2017-04-21T00:00:00-06:00,1480.8125 kWh
2017-04-22T00:00:00-06:00,1431.75 kWh
2017-04-23T00:00:00-06:00,1415.375 kWh
2017-04-24T00:00:00-06:00,1467.9375 kWh
2017-04-25T00:00:00-06:00,1432.75 kWh
2017-04-26T00:00:00-06:00,1453.65625 kWh
2017-04-27T00:00:00-06:00,1443.1875 kWh
2017-04-28T00:00:00-06:00,1466.78125 kWh
2017-04-29T00:00:00-06:00,1370.59375 kWh
2017-04-30T00:00:00-06:00,1370.375 kWh
2017-05-01T00:00:00-06:00,1398 kWh
2017-05-02T00:00:00-06:00,1399.59375 kWh
2017-05-03T00:00:00-06:00,1325.21875 kWh
2017-05-04T00:00:00-06:00,1292.6875 kWh
2017-05-05T00:00:00-06:00,1199.5 kWh
2017-05-06T00:00:00-06:00,1029.25 kWh
2017-05-07T00:00:00-06:00,911.96875 kWh
2017-05-08T00:00:00-06:00,929.375 kWh
2017-05-09T00:00:00-06:00,939.40625 kWh
2017-05-10T00:00:00-06:00,924.71875 kWh
2017-05-11T00:00:00-06:00,885.15625 kWh
2017-05-12T00:00:00-06:00,885.625 kWh
2017-05-13T00:00:00-06:00,903.875 kWh
2017-05-14T00:00:00-06:00,906.59375 kWh
2017-05-15T00:00:00-06:00,902.875 kWh
2017-05-16T00:00:00-06:00,924.3125 kWh
2017-05-17T00:00:00-06:00,920.09375 kWh
2017-05-18T00:00:00-06:00,930.46875 kWh
2017-05-19T00:00:00-06:00,923.28125 kWh
2017-05-20T00:00:00-06:00,932.15625 kWh
2017-05-21T00:00:00-06:00,954.8125 kWh
2017-05-22T00:00:00-06:00,948.625 kWh
2017-05-23T00:00:00-06:00,944.71875 kWh
2017-05-24T00:00:00-06:00,919.9375 kWh
2017-05-25T00:00:00-06:00,928.4375 kWh
2017-05-26T00:00:00-06:00,910.3125 kWh
2017-05-27T00:00:00-06:00,906.375 kWh
2017-05-28T00:00:00-06:00,906.1875 kWh
2017-05-29T00:00:00-06:00,867.09375 kWh
2017-05-30T00:00:00-06:00,921.4375 kWh
2017-05-31T00:00:00-06:00,936.65625 kWh
2017-06-01T00:00:00-06:00,943.65625 kWh
2017-06-02T00:00:00-06:00,934.5 kWh
2017-06-03T00:00:00-06:00,904.5625 kWh
2017-06-04T00:00:00-06:00,930.9375 kWh
2017-06-05T00:00:00-06:00,979.28125 kWh
2017-06-06T00:00:00-06:00,1012.96875 kWh
2017-06-07T00:00:00-06:00,971.625 kWh
2017-06-08T00:00:00-06:00,974.75 kWh
2017-06-09T00:00:00-06:00,942.96875 kWh
2017-06-10T00:00:00-06:00,940.53125 kWh
2017-06-11T00:00:00-06:00,931.65625 kWh
2017-06-12T00:00:00-06:00,1000.8125 kWh
2017-06-13T00:00:00-06:00,995.875 kWh
2017-06-14T00:00:00-06:00,997.34375 kWh
2017-06-15T00:00:00-06:00,1003.34375 kWh
2017-06-16T00:00:00-06:00,979.71875 kWh
2017-06-17T00:00:00-06:00,955.625 kWh
2017-06-18T00:00:00-06:00,945.125 kWh
2017-06-19T00:00:00-06:00,1014.5625 kWh
2017-06-20T00:00:00-06:00,1029.375 kWh
2017-06-21T00:00:00-06:00,996.28125 kWh
2017-06-22T00:00:00-06:00,1051.75 kWh
2017-06-23T00:00:00-06:00,1003.5 kWh
2017-06-24T00:00:00-06:00,984.90625 kWh
2017-06-25T00:00:00-06:00,1014.4375 kWh
2017-06-26T00:00:00-06:00,1031.625 kWh
2017-06-27T00:00:00-06:00,1049.125 kWh
2017-06-28T00:00:00-06:00,1034.1875 kWh
2017-06-29T00:00:00-06:00,1038.59375 kWh
2017-06-30T00:00:00-06:00,1074.28125 kWh
2017-07-01T00:00:00-06:00,1079.53125 kWh
2017-07-02T00:00:00-06:00,1092.25 kWh
2017-07-03T00:00:00-06:00,1133.09375 kWh
2017-07-04T00:00:00-06:00,1119 kWh
2017-07-05T00:00:00-06:00,1132 kWh
2017-07-06T00:00:00-06:00,1133.4375 kWh
2017-07-07T00:00:00-06:00,1139.25 kWh
2017-07-08T00:00:00-06:00,1124.5 kWh
2017-07-09T00:00:00-06:00,1144.40625 kWh
2017-07-10T00:00:00-06:00,1157.65625 kWh
2017-07-11T00:00:00-06:00,1146.6875 kWh
2017-07-12T00:00:00-06:00,1127.84375 kWh
2017-07-13T00:00:00-06:00,1133.4375 kWh
2017-07-14T00:00:00-06:00,1127.28125 kWh
2017-07-15T00:00:00-06:00,1084.5 kWh
2017-07-16T00:00:00-06:00,1095.84375 kWh
2017-07-17T00:00:00-06:00,1076.5 kWh
2017-07-18T00:00:00-06:00,1090.03125 kWh
2017-07-19T00:00:00-06:00,1074.34375 kWh
2017-07-20T00:00:00-06:00,1093.125 kWh
2017-07-21T00:00:00-06:00,1070.28125 kWh
2017-07-22T00:00:00-06:00,1066.5 kWh
2017-07-23T00:00:00-06:00,1043.6875 kWh
2017-07-24T00:00:00-06:00,1060.8125 kWh
2017-07-25T00:00:00-06:00,1088.5625 kWh
2017-07-26T00:00:00-06:00,1105.9375 kWh
