Timestamp,['1ebcfb66-442dc362 0105-ANNEX GENERAL OFFICE  Power Meter KWH Received']
2017-01-01T00:00:00-07:00,782.65625 kWh
2017-01-02T00:00:00-07:00,782.0625 kWh
2017-01-03T00:00:00-07:00,1154.109375 kWh
2017-01-04T00:00:00-07:00,1198.109375 kWh
2017-01-05T00:00:00-07:00,1194.734375 kWh
2017-01-06T00:00:00-07:00,1195.34375 kWh
2017-01-07T00:00:00-07:00,848.703125 kWh
2017-01-08T00:00:00-07:00,826.109375 kWh
2017-01-09T00:00:00-07:00,1312.421875 kWh
2017-01-10T00:00:00-07:00,1360.25 kWh
2017-01-11T00:00:00-07:00,1342.078125 kWh
2017-01-12T00:00:00-07:00,1346.734375 kWh
2017-01-13T00:00:00-07:00,1237.46875 kWh
2017-01-14T00:00:00-07:00,899.84375 kWh
2017-01-15T00:00:00-07:00,879.21875 kWh
2017-01-16T00:00:00-07:00,890.03125 kWh
2017-01-17T00:00:00-07:00,1404.375 kWh
2017-01-18T00:00:00-07:00,1370.234375 kWh
2017-01-19T00:00:00-07:00,1367.84375 kWh
2017-01-20T00:00:00-07:00,1223.421875 kWh
2017-01-21T00:00:00-07:00,860.53125 kWh
2017-01-22T00:00:00-07:00,851.875 kWh
2017-01-23T00:00:00-07:00,1307.453125 kWh
2017-01-24T00:00:00-07:00,1367.828125 kWh
2017-01-25T00:00:00-07:00,1330.609375 kWh
2017-01-26T00:00:00-07:00,1356.453125 kWh
2017-01-27T00:00:00-07:00,1275.296875 kWh
2017-01-28T00:00:00-07:00,905.125 kWh
2017-01-29T00:00:00-07:00,864.03125 kWh
2017-01-30T00:00:00-07:00,1370.96875 kWh
2017-01-31T00:00:00-07:00,1393.875 kWh
2017-02-01T00:00:00-07:00,1350.046875 kWh
2017-02-02T00:00:00-07:00,1342.609375 kWh
2017-02-03T00:00:00-07:00,4908.703125 kWh
2017-02-07T00:00:00-07:00,788.875 kWh
2017-02-08T00:00:00-07:00,1364.921875 kWh
2017-02-09T00:00:00-07:00,1341.015625 kWh
2017-02-10T00:00:00-07:00,1132.640625 kWh
2017-02-11T00:00:00-07:00,824.421875 kWh
2017-02-12T00:00:00-07:00,797.765625 kWh
2017-02-13T00:00:00-07:00,1236.953125 kWh
2017-02-14T00:00:00-07:00,1197.515625 kWh
2017-02-15T00:00:00-07:00,1224.90625 kWh
2017-02-16T00:00:00-07:00,1238 kWh
2017-02-17T00:00:00-07:00,1120.53125 kWh
2017-02-18T00:00:00-07:00,890.328125 kWh
2017-02-19T00:00:00-07:00,867.234375 kWh
2017-02-20T00:00:00-07:00,844.234375 kWh
2017-02-21T00:00:00-07:00,1218.078125 kWh
2017-02-22T00:00:00-07:00,1230.625 kWh
2017-02-23T00:00:00-07:00,1248.03125 kWh
2017-02-24T00:00:00-07:00,1147.90625 kWh
2017-02-25T00:00:00-07:00,820.84375 kWh
2017-02-26T00:00:00-07:00,809.9375 kWh
2017-02-27T00:00:00-07:00,1204.4375 kWh
2017-02-28T00:00:00-07:00,1223.3125 kWh
2017-03-01T00:00:00-07:00,1255.390625 kWh
2017-03-02T00:00:00-07:00,1197.84375 kWh
2017-03-03T00:00:00-07:00,1111.703125 kWh
2017-03-04T00:00:00-07:00,797.34375 kWh
2017-03-05T00:00:00-07:00,776.15625 kWh
2017-03-06T00:00:00-07:00,1154.421875 kWh
2017-03-07T00:00:00-07:00,1201.875 kWh
2017-03-08T00:00:00-07:00,1212.546875 kWh
2017-03-09T00:00:00-07:00,1198.75 kWh
2017-03-10T00:00:00-07:00,1136.25 kWh
2017-03-11T00:00:00-07:00,917.875 kWh
2017-03-12T00:00:00-07:00,854.515625 kWh
2017-03-13T00:00:00-06:00,1147.546875 kWh
2017-03-14T00:00:00-06:00,1198.828125 kWh
2017-03-15T00:00:00-06:00,1311.484375 kWh
2017-03-16T00:00:00-06:00,1262.96875 kWh
2017-03-17T00:00:00-06:00,1093.140625 kWh
2017-03-18T00:00:00-06:00,914.1875 kWh
2017-03-19T00:00:00-06:00,856.578125 kWh
2017-03-20T00:00:00-06:00,1294.703125 kWh
2017-03-21T00:00:00-06:00,1308.109375 kWh
2017-03-22T00:00:00-06:00,1309.46875 kWh
2017-03-23T00:00:00-06:00,1299.421875 kWh
2017-03-24T00:00:00-06:00,1186.171875 kWh
2017-03-25T00:00:00-06:00,871.15625 kWh
2017-03-26T00:00:00-06:00,863.859375 kWh
2017-03-27T00:00:00-06:00,1279.921875 kWh
2017-03-28T00:00:00-06:00,1282.0625 kWh
2017-03-29T00:00:00-06:00,2045.046875 kWh
2017-03-30T00:00:00-06:00,616.78125 kWh
2017-03-31T00:00:00-06:00,1214.40625 kWh
2017-04-01T00:00:00-06:00,935.84375 kWh
2017-04-02T00:00:00-06:00,900.828125 kWh
2017-04-03T00:00:00-06:00,1264.5625 kWh
2017-04-04T00:00:00-06:00,1254.8125 kWh
2017-04-05T00:00:00-06:00,1241.8125 kWh
2017-04-06T00:00:00-06:00,1307.5625 kWh
2017-04-07T00:00:00-06:00,1118.09375 kWh
2017-04-08T00:00:00-06:00,845 kWh
2017-04-09T00:00:00-06:00,817.28125 kWh
2017-04-10T00:00:00-06:00,1237.0625 kWh
2017-04-11T00:00:00-06:00,1295.71875 kWh
2017-04-12T00:00:00-06:00,1309.25 kWh
2017-04-13T00:00:00-06:00,1354.9375 kWh
2017-04-14T00:00:00-06:00,1154.46875 kWh
2017-04-15T00:00:00-06:00,919.75 kWh
2017-04-16T00:00:00-06:00,917.34375 kWh
2017-04-17T00:00:00-06:00,1364.71875 kWh
2017-04-18T00:00:00-06:00,1395.46875 kWh
2017-04-19T00:00:00-06:00,1396.375 kWh
2017-04-20T00:00:00-06:00,1310.65625 kWh
2017-04-21T00:00:00-06:00,1161.1875 kWh
2017-04-22T00:00:00-06:00,926.125 kWh
2017-04-23T00:00:00-06:00,879.78125 kWh
2017-04-24T00:00:00-06:00,1310.0625 kWh
2017-04-25T00:00:00-06:00,1298.21875 kWh
2017-04-26T00:00:00-06:00,1324 kWh
2017-04-27T00:00:00-06:00,1254.875 kWh
2017-04-28T00:00:00-06:00,1129.71875 kWh
2017-04-29T00:00:00-06:00,881.15625 kWh
2017-04-30T00:00:00-06:00,912.65625 kWh
2017-05-01T00:00:00-06:00,1370.6875 kWh
2017-05-02T00:00:00-06:00,1308.34375 kWh
2017-05-03T00:00:00-06:00,1358.15625 kWh
2017-05-04T00:00:00-06:00,1277.625 kWh
2017-05-05T00:00:00-06:00,1243.5625 kWh
2017-05-06T00:00:00-06:00,967.15625 kWh
2017-05-07T00:00:00-06:00,945.375 kWh
2017-05-08T00:00:00-06:00,1268.9375 kWh
2017-05-09T00:00:00-06:00,1185.625 kWh
2017-05-10T00:00:00-06:00,1181.71875 kWh
