Timestamp,['1ed62995-b9682041 0012-SUTTON BLDG POWER METER 208V (316602) Real Energy In']
2017-01-01T00:00:00-07:00,913.75 kWh
2017-01-02T00:00:00-07:00,932.25 kWh
2017-01-03T00:00:00-07:00,1100 kWh
2017-01-04T00:00:00-07:00,1216 kWh
2017-01-05T00:00:00-07:00,1205.25 kWh
2017-01-06T00:00:00-07:00,1202.25 kWh
2017-01-07T00:00:00-07:00,1100.5 kWh
2017-01-08T00:00:00-07:00,1092 kWh
2017-01-09T00:00:00-07:00,1241.75 kWh
2017-01-10T00:00:00-07:00,1250.75 kWh
2017-01-11T00:00:00-07:00,1257 kWh
2017-01-12T00:00:00-07:00,1274.5 kWh
2017-01-13T00:00:00-07:00,1259.5 kWh
2017-01-14T00:00:00-07:00,1138.5 kWh
2017-01-15T00:00:00-07:00,1135.5 kWh
2017-01-16T00:00:00-07:00,1183 kWh
2017-01-17T00:00:00-07:00,1261.5 kWh
2017-01-18T00:00:00-07:00,1245 kWh
2017-01-19T00:00:00-07:00,1210.75 kWh
2017-01-20T00:00:00-07:00,1046.75 kWh
2017-01-21T00:00:00-07:00,860.75 kWh
2017-01-22T00:00:00-07:00,805.75 kWh
2017-01-23T00:00:00-07:00,1022.75 kWh
2017-01-24T00:00:00-07:00,1143.25 kWh
2017-01-25T00:00:00-07:00,1192 kWh
2017-01-26T00:00:00-07:00,1227 kWh
2017-01-27T00:00:00-07:00,1245.75 kWh
2017-01-28T00:00:00-07:00,1160.25 kWh
2017-01-29T00:00:00-07:00,1131.75 kWh
2017-01-30T00:00:00-07:00,1226.75 kWh
2017-01-31T00:00:00-07:00,1247.75 kWh
2017-02-01T00:00:00-07:00,1236.5 kWh
2017-02-02T00:00:00-07:00,1235.25 kWh
2017-02-03T00:00:00-07:00,4611.75 kWh
2017-02-07T00:00:00-07:00,704 kWh
2017-02-08T00:00:00-07:00,1204.25 kWh
2017-02-09T00:00:00-07:00,1269.25 kWh
2017-02-10T00:00:00-07:00,1273.25 kWh
2017-02-11T00:00:00-07:00,1096 kWh
2017-02-12T00:00:00-07:00,1105.75 kWh
2017-02-13T00:00:00-07:00,1248.75 kWh
2017-02-14T00:00:00-07:00,1271.5 kWh
2017-02-15T00:00:00-07:00,1277.75 kWh
2017-02-16T00:00:00-07:00,1300.5 kWh
2017-02-17T00:00:00-07:00,1194.5 kWh
2017-02-18T00:00:00-07:00,934.25 kWh
2017-02-19T00:00:00-07:00,931 kWh
2017-02-20T00:00:00-07:00,958.75 kWh
2017-02-21T00:00:00-07:00,1251.5 kWh
2017-02-22T00:00:00-07:00,1286.5 kWh
2017-02-23T00:00:00-07:00,1267 kWh
2017-02-24T00:00:00-07:00,1269.75 kWh
2017-02-25T00:00:00-07:00,1149.25 kWh
2017-02-26T00:00:00-07:00,1141.25 kWh
2017-02-27T00:00:00-07:00,1303 kWh
2017-02-28T00:00:00-07:00,1316.25 kWh
2017-03-01T00:00:00-07:00,1297.75 kWh
2017-03-02T00:00:00-07:00,1291.75 kWh
2017-03-03T00:00:00-07:00,1338.75 kWh
2017-03-04T00:00:00-07:00,1188.75 kWh
2017-03-05T00:00:00-07:00,1169.75 kWh
2017-03-06T00:00:00-07:00,1294.75 kWh
2017-03-07T00:00:00-07:00,1299 kWh
2017-03-08T00:00:00-07:00,1263 kWh
2017-03-09T00:00:00-07:00,1242.5 kWh
2017-03-10T00:00:00-07:00,1259.5 kWh
2017-03-11T00:00:00-07:00,1191 kWh
2017-03-12T00:00:00-07:00,1077 kWh
2017-03-13T00:00:00-06:00,1235.5 kWh
2017-03-14T00:00:00-06:00,1285.75 kWh
2017-03-15T00:00:00-06:00,1301.75 kWh
2017-03-16T00:00:00-06:00,1253 kWh
2017-03-17T00:00:00-06:00,1202 kWh
2017-03-18T00:00:00-06:00,994 kWh
2017-03-19T00:00:00-06:00,991.75 kWh
2017-03-20T00:00:00-06:00,1136 kWh
2017-03-21T00:00:00-06:00,1183.75 kWh
2017-03-22T00:00:00-06:00,1167 kWh
2017-03-23T00:00:00-06:00,1126.5 kWh
2017-03-24T00:00:00-06:00,1083 kWh
2017-03-25T00:00:00-06:00,923.25 kWh
2017-03-26T00:00:00-06:00,923 kWh
2017-03-27T00:00:00-06:00,1071.5 kWh
2017-03-28T00:00:00-06:00,1118.25 kWh
2017-03-29T00:00:00-06:00,1733 kWh
2017-03-30T00:00:00-06:00,623 kWh
2017-03-31T00:00:00-06:00,1231.75 kWh
2017-04-01T00:00:00-06:00,1100 kWh
2017-04-02T00:00:00-06:00,1093.75 kWh
2017-04-03T00:00:00-06:00,1247 kWh
