Timestamp,['1ce63d05-fa03aadc 0028-MARRIOTT CENTER FOR DANCE Power Meter KWH Received']
2017-01-01T00:00:00-07:00,1434.8125 kWh
2017-01-02T00:00:00-07:00,1452.9375 kWh
2017-01-03T00:00:00-07:00,1514.5 kWh
2017-01-04T00:00:00-07:00,1644.65625 kWh
2017-01-05T00:00:00-07:00,1656.53125 kWh
2017-01-06T00:00:00-07:00,1770.28125 kWh
2017-01-07T00:00:00-07:00,1584.875 kWh
2017-01-08T00:00:00-07:00,1497.5625 kWh
2017-01-09T00:00:00-07:00,2043.5 kWh
2017-01-10T00:00:00-07:00,2131 kWh
2017-01-11T00:00:00-07:00,2162.9375 kWh
2017-01-12T00:00:00-07:00,2124 kWh
2017-01-13T00:00:00-07:00,2122.3125 kWh
2017-01-14T00:00:00-07:00,1863.28125 kWh
2017-01-15T00:00:00-07:00,1724 kWh
2017-01-16T00:00:00-07:00,1688.78125 kWh
2017-01-17T00:00:00-07:00,2153.4375 kWh
2017-01-18T00:00:00-07:00,2156.96875 kWh
2017-01-19T00:00:00-07:00,2162.90625 kWh
2017-01-20T00:00:00-07:00,2373.125 kWh
2017-01-21T00:00:00-07:00,2164.90625 kWh
2017-01-22T00:00:00-07:00,2014.6875 kWh
2017-01-23T00:00:00-07:00,2467.75 kWh
2017-01-24T00:00:00-07:00,2613.6875 kWh
2017-01-25T00:00:00-07:00,2506.09375 kWh
2017-01-26T00:00:00-07:00,2509.96875 kWh
2017-01-27T00:00:00-07:00,2247.5 kWh
2017-01-28T00:00:00-07:00,1904.6875 kWh
2017-01-29T00:00:00-07:00,1790.0625 kWh
2017-01-30T00:00:00-07:00,2359.28125 kWh
2017-01-31T00:00:00-07:00,2463.5625 kWh
2017-02-01T00:00:00-07:00,2566.375 kWh
2017-02-02T00:00:00-07:00,2669.90625 kWh
2017-02-03T00:00:00-07:00,10834 kWh
2017-02-07T00:00:00-07:00,1411.21875 kWh
2017-02-08T00:00:00-07:00,2562.625 kWh
2017-02-09T00:00:00-07:00,2638.6875 kWh
2017-02-10T00:00:00-07:00,2627.9375 kWh
2017-02-11T00:00:00-07:00,2487.15625 kWh
2017-02-12T00:00:00-07:00,2037.40625 kWh
2017-02-13T00:00:00-07:00,2401.875 kWh
2017-02-14T00:00:00-07:00,2540.375 kWh
2017-02-15T00:00:00-07:00,2509.25 kWh
2017-02-16T00:00:00-07:00,2687.03125 kWh
2017-02-17T00:00:00-07:00,2609.84375 kWh
2017-02-18T00:00:00-07:00,2689.5 kWh
2017-02-19T00:00:00-07:00,2077 kWh
2017-02-20T00:00:00-07:00,2043.15625 kWh
2017-02-21T00:00:00-07:00,2484.8125 kWh
2017-02-22T00:00:00-07:00,2757.0625 kWh
2017-02-23T00:00:00-07:00,2792.28125 kWh
2017-02-24T00:00:00-07:00,2523 kWh
2017-02-25T00:00:00-07:00,2134.5625 kWh
2017-02-26T00:00:00-07:00,2062.78125 kWh
2017-02-27T00:00:00-07:00,2495.65625 kWh
2017-02-28T00:00:00-07:00,2464.71875 kWh
2017-03-01T00:00:00-07:00,2566.84375 kWh
2017-03-02T00:00:00-07:00,2629.5 kWh
2017-03-03T00:00:00-07:00,2492.6875 kWh
2017-03-04T00:00:00-07:00,2696.46875 kWh
2017-03-05T00:00:00-07:00,2096.15625 kWh
2017-03-06T00:00:00-07:00,2670.1875 kWh
2017-03-07T00:00:00-07:00,2671.25 kWh
2017-03-08T00:00:00-07:00,2686.0625 kWh
2017-03-09T00:00:00-07:00,2507.875 kWh
2017-03-10T00:00:00-07:00,2524.34375 kWh
2017-03-11T00:00:00-07:00,2082.09375 kWh
2017-03-12T00:00:00-07:00,1886.3125 kWh
2017-03-13T00:00:00-06:00,2276.375 kWh
2017-03-14T00:00:00-06:00,2374.71875 kWh
2017-03-15T00:00:00-06:00,2469.9375 kWh
2017-03-16T00:00:00-06:00,2395.34375 kWh
2017-03-17T00:00:00-06:00,2442.03125 kWh
2017-03-18T00:00:00-06:00,2060.25 kWh
2017-03-19T00:00:00-06:00,2086.90625 kWh
2017-03-20T00:00:00-06:00,2869.5625 kWh
2017-03-21T00:00:00-06:00,3109.46875 kWh
2017-03-22T00:00:00-06:00,3045.375 kWh
2017-03-23T00:00:00-06:00,2730.40625 kWh
2017-03-24T00:00:00-06:00,2679.21875 kWh
2017-03-25T00:00:00-06:00,2283.40625 kWh
2017-03-26T00:00:00-06:00,2135.5 kWh
2017-03-27T00:00:00-06:00,2834.75 kWh
2017-03-28T00:00:00-06:00,2644.34375 kWh
2017-03-29T00:00:00-06:00,3773 kWh
2017-03-30T00:00:00-06:00,1250.34375 kWh
2017-03-31T00:00:00-06:00,2600.1875 kWh
2017-04-01T00:00:00-06:00,2404.28125 kWh
2017-04-02T00:00:00-06:00,1989.03125 kWh
2017-04-03T00:00:00-06:00,2420.53125 kWh
2017-04-04T00:00:00-06:00,2474.25 kWh
2017-04-05T00:00:00-06:00,2370.84375 kWh
2017-04-06T00:00:00-06:00,2686 kWh
2017-04-07T00:00:00-06:00,2716.09375 kWh
2017-04-08T00:00:00-06:00,2183.1875 kWh
2017-04-09T00:00:00-06:00,2143.25 kWh
2017-04-10T00:00:00-06:00,2471.5625 kWh
2017-04-11T00:00:00-06:00,2418.96875 kWh
2017-04-12T00:00:00-06:00,2414.25 kWh
2017-04-13T00:00:00-06:00,2578.3125 kWh
2017-04-14T00:00:00-06:00,2436.75 kWh
2017-04-15T00:00:00-06:00,2128.0625 kWh
2017-04-16T00:00:00-06:00,1776.3125 kWh
2017-04-17T00:00:00-06:00,2478.1875 kWh
2017-04-18T00:00:00-06:00,2327.375 kWh
2017-04-19T00:00:00-06:00,2311.6875 kWh
2017-04-20T00:00:00-06:00,2372.125 kWh
2017-04-21T00:00:00-06:00,2375.5625 kWh
2017-04-22T00:00:00-06:00,1883.0625 kWh
2017-04-23T00:00:00-06:00,1772.125 kWh
2017-04-24T00:00:00-06:00,2258.8125 kWh
2017-04-25T00:00:00-06:00,2197.75 kWh
2017-04-26T00:00:00-06:00,2122.75 kWh
2017-04-27T00:00:00-06:00,2168.8125 kWh
2017-04-28T00:00:00-06:00,1998.9375 kWh
2017-04-29T00:00:00-06:00,1817.4375 kWh
2017-04-30T00:00:00-06:00,1640.875 kWh
2017-05-01T00:00:00-06:00,1762.6875 kWh
2017-05-02T00:00:00-06:00,1776.875 kWh
2017-05-03T00:00:00-06:00,1990.6875 kWh
2017-05-04T00:00:00-06:00,1726.875 kWh
2017-05-05T00:00:00-06:00,1691.3125 kWh
2017-05-06T00:00:00-06:00,2006.25 kWh
2017-05-07T00:00:00-06:00,1611.9375 kWh
2017-05-08T00:00:00-06:00,1703.6875 kWh
2017-05-09T00:00:00-06:00,1663.4375 kWh
2017-05-10T00:00:00-06:00,1801.9375 kWh
2017-05-11T00:00:00-06:00,1758.625 kWh
2017-05-12T00:00:00-06:00,1777.9375 kWh
2017-05-13T00:00:00-06:00,1777.8125 kWh
2017-05-14T00:00:00-06:00,1677.625 kWh
2017-05-15T00:00:00-06:00,1635.0625 kWh
2017-05-16T00:00:00-06:00,1679.75 kWh
2017-05-17T00:00:00-06:00,1955.5 kWh
2017-05-18T00:00:00-06:00,2042.125 kWh
2017-05-19T00:00:00-06:00,1881.4375 kWh
2017-05-20T00:00:00-06:00,1801.125 kWh
2017-05-21T00:00:00-06:00,1593 kWh
2017-05-22T00:00:00-06:00,1751.75 kWh
2017-05-23T00:00:00-06:00,2026.1875 kWh
2017-05-24T00:00:00-06:00,1863.25 kWh
2017-05-25T00:00:00-06:00,1806.8125 kWh
2017-05-26T00:00:00-06:00,1726.375 kWh
2017-05-27T00:00:00-06:00,1659.5 kWh
2017-05-28T00:00:00-06:00,1580.6875 kWh
2017-05-29T00:00:00-06:00,1723.8125 kWh
2017-05-30T00:00:00-06:00,1727.8125 kWh
2017-05-31T00:00:00-06:00,1853.6875 kWh
2017-06-01T00:00:00-06:00,1854.75 kWh
2017-06-02T00:00:00-06:00,1878.4375 kWh
2017-06-03T00:00:00-06:00,1809.375 kWh
2017-06-04T00:00:00-06:00,1659.625 kWh
2017-06-05T00:00:00-06:00,1886.5 kWh
2017-06-06T00:00:00-06:00,1927.4375 kWh
2017-06-07T00:00:00-06:00,1970.6875 kWh
2017-06-08T00:00:00-06:00,1909.5 kWh
2017-06-09T00:00:00-06:00,1976.9375 kWh
2017-06-10T00:00:00-06:00,1841.9375 kWh
2017-06-11T00:00:00-06:00,1637.25 kWh
2017-06-12T00:00:00-06:00,1917.125 kWh
2017-06-13T00:00:00-06:00,1856.625 kWh
2017-06-14T00:00:00-06:00,1900.25 kWh
2017-06-15T00:00:00-06:00,1919.8125 kWh
2017-06-16T00:00:00-06:00,1840.8125 kWh
2017-06-17T00:00:00-06:00,1721.75 kWh
2017-06-18T00:00:00-06:00,1665.8125 kWh
2017-06-19T00:00:00-06:00,1990.3125 kWh
2017-06-20T00:00:00-06:00,2107.6875 kWh
2017-06-21T00:00:00-06:00,2061.75 kWh
2017-06-22T00:00:00-06:00,2122.625 kWh
2017-06-23T00:00:00-06:00,2054.375 kWh
2017-06-24T00:00:00-06:00,1809.8125 kWh
2017-06-25T00:00:00-06:00,1689.5 kWh
2017-06-26T00:00:00-06:00,2105.125 kWh
2017-06-27T00:00:00-06:00,2171.25 kWh
2017-06-28T00:00:00-06:00,2092.3125 kWh
